,Скважина,Дата,ГТМ,Метод,Характер работы,Состояние,"Время работы, ч",Время накопления,"Нефть, т","Попутный газ, м3","Простой, ч",Причина простоя,"Обводненность (вес), %","Добыча растворенного газа, м3","Дебит попутного газа, м3/сут",Тип скважины,Диаметр НКТ,Диаметр штуцера,Глубина верхних дыр перфорации,Удлинение,Тип насоса,Производительность ЭЦН,Напор,Частота,Коэффициент сепарации,Глубина спуска,Буферное давление,Давление в линии,Пластовое давление,Динамическая высота,Затрубное давление,Давление на приеме,Забойное давление,Обводненность,Давление наcыщения,Газовый фактор,Температура пласта,JD факт,Вязкость нефти в пластовых условиях,Вязкость воды в пластовых условиях,Вязкость жидкости в пласт. условиях,объемный коэффициент,Плотность нефти,Плотность воды,Высота перфорации,Удельный коэффициент,Коэффициент продуктивности,ТП - Забойное давление,ТП - JD опт.,ТП - SKIN,К пр от стимуляции,Глубина спуска.1,КВЧ,Время до псевдоуст-ся режима,Дата запуска после КРС,Дата пуска,Дата останова,Радиус контура питания,Номер бригады,Дата ввода в эксплуатацию,Назначение по проекту,Замерное забойное давление,Нефтенасыщенная толщина,Плотность раствора глушения,Глубина текущего забоя,Тип дополнительного оборудования,Мощность ПЭД,I X/X,Ток номинальный,Ток рабочий,Тип ГЗУ,ДНС,Пластовое давление начальное,Характеристический дебит жидкости,Время в работе,Время в накоплении,ГП - Забойное давление,ГП(ИДН) Дебит жидкости,ГП(ИДН) Дебит жидкости скорр-ый,ГП(ИДН) Прирост дефита нефти,ГП(ГРП) Дебит жидкости,ГП(ГРП) Дебит жидкости скорр-ый
0.0,53514b4c4150ad897d82dd7d42cfc1a5,2012-03-30,0.0,2.0,1.0,1.0,301.0,0.0,"278,55",10028.0,0.0,0,"69,7","10027,62","799,54",1.0,67.4,0.0,2387.0,34.84,17.0,60.0,2460.0,53.7,0.7,2311.0,27.0,26.0,168.33999999999997,2113.4,25.9,41.4,47.873747831509704,37.2,80.9,36.0,87.0,0.1348204654256092,1.67,0.5,1.6687585901340882,1.12,0.8699999999999999,1.03,13.0,9.128395335949758,0.4878221138020114,39.68202089668918,0.5781013668077801,-5.340800770410378,1.979626107064568,0.0,67.6,23.843339970838343,42143.4444444444,42143.4444444444,42118.0,250.0,0.0,42135.0,1.0,35.6,6.0,0.7514667369566701,2458.0,0.0,100.0,14.0,38.5,211.0,1.0,1.0,231.0,637.217130812687,0.0,0.0,36.0,61.44665296530967,61.44665296530967,1.8944140243939145,248.15843481372383,248.15843481372383
1.0,53514b4c4150ad897d82dd7d42cfc1a5,2012-04-30,0.0,1.0,1.0,1.0,720.0,0.0,"1074,74",38690.0,0.0,0,"38,2","38690,50","1289,68",1.0,67.4,0.0,2387.0,34.84,17.0,60.0,2460.0,45.0,0.7,2311.0,26.0,25.0,190.0,1720.0,16.6,66.0,72.773373753411,66.0,80.9,36.0,87.0,0.141289807627567,1.67,0.5,1.66779850597212,1.12,0.87,1.03,13.0,12.138039082360196,0.6489998216651421,40.0,0.5328064987783889,-5.19719202673113,2.4461437268582795,0.0,82.0,17.4426364023932,42143.4444444444,42143.4444444444,42118.0,250.0,0.0,42135.0,1.0,0.0,6.0,0.848156587987212,2458.0,0.0,100.0,14.0,38.5,211.0,1.0,1.0,231.0,847.308442842446,0.0,0.0,35.0,96.49325140949672,96.49325140949672,6.06190376692914,363.69249072195396,363.69249072195396
2.0,53514b4c4150ad897d82dd7d42cfc1a5,2012-05-30,0.0,1.0,1.0,1.0,744.0,0.0,"1046,80",37685.0,0.0,0,"35,1","37684,91","1215,64",1.0,67.4,0.0,2387.0,34.84,17.0,60.0,2460.0,55.0,0.7,2311.0,27.0,26.0,190.0,2164.0,27.2,39.0,45.45156461328239,36.0,80.9,36.0,87.0,0.136382993824908,1.67,0.5,1.6687984651051202,1.12,0.87,1.03,13.0,8.45861552466757,0.451996445875633,40.0,0.5871196408680961,-5.370815646221533,1.87728197034192,0.0,64.0,25.045037450665802,42143.4444444444,42143.4444444444,42118.0,250.0,0.0,42135.0,1.0,48.0,6.0,0.848156587987212,2458.0,0.0,100.0,14.0,38.5,211.0,1.0,1.0,231.0,590.462454452354,0.0,0.0,36.0,65.6651581996136,65.6651581996136,1.4839600855448798,272.72784707183996,272.72784707183996
3.0,53514b4c4150ad897d82dd7d42cfc1a5,2012-06-30,0.0,1.0,1.0,1.0,744.0,0.0,"900,95",32434.0,0.0,0,"32,1","32434,09","1046,26",1.0,67.4,0.0,2387.0,34.84,17.0,60.0,2460.0,56.0,0.7,2311.0,26.5,25.4,153.9,2255.0,27.3,32.0,38.4101044834459,30.0,80.9,36.0,87.0,0.13148329172216802,1.67,0.5,1.6689986008395001,1.12,0.87,1.03,13.0,9.23944201786856,0.49366165880720203,38.4101044834459,0.572985500898184,-5.32880115137477,2.00097153658728,0.0,64.0,22.9312277195588,42143.4444444444,42143.4444444444,42118.0,250.0,0.0,42135.0,1.0,48.0,6.0,0.6870068362696421,2458.0,0.0,100.0,14.0,38.5,211.0,1.0,1.0,231.0,644.968859942986,0.0,0.0,35.4,53.8386482491881,53.8386482491881,0.5107367837555851,218.225581819052,218.225581819052
4.0,53514b4c4150ad897d82dd7d42cfc1a5,2012-07-31,0.0,1.0,1.0,1.0,720.0,0.0,"761,72",27422.0,0.0,0,"34,2","27421,92","914,06",1.0,67.4,0.0,2387.0,34.84,17.0,60.0,2460.0,56.0,0.7,2311.0,28.5,27.6,153.9,2230.0,28.4,35.0,41.344787130140006,25.0,80.9,36.0,87.0,0.13231200429558,1.67,0.5,1.6691654172913502,1.12,0.87,1.03,13.0,8.35527662513608,0.4463762519362261,40.0,0.589133411208763,-5.376637612394839,1.8602984097478201,0.0,64.0,25.3603722541683,42143.4444444444,42143.4444444444,42118.0,250.0,0.0,42135.0,1.0,41.0,6.0,0.6870068362696421,2458.0,0.0,100.0,14.0,38.5,211.0,1.0,1.0,231.0,583.2487750884179,0.0,0.0,37.6,47.9817368233338,47.9817368233338,0.640583277225278,199.966616329175,199.966616329175
5.0,53514b4c4150ad897d82dd7d42cfc1a5,2012-08-30,0.0,1.0,1.0,1.0,744.0,0.0,"651,91",23469.0,0.0,0,"38,5","23468,65","757,05",1.0,67.4,0.0,2387.0,34.84,17.0,60.0,2460.0,56.5,0.7,2311.0,27.0,26.0,153.9,2198.0,30.0,35.0,41.3889091772692,29.0,80.9,36.0,87.0,0.132634229657823,1.67,0.5,1.66903196146235,1.12,0.87,1.03,13.0,7.450603429716389,0.3980763907258541,40.0,0.608461782285469,-5.43055741532962,1.71343489178754,0.0,64.0,28.4374260274056,42143.4444444444,42143.4444444444,42118.0,250.0,0.0,42135.0,1.0,41.0,6.0,0.6870068362696421,2458.0,0.0,100.0,14.0,38.5,211.0,1.0,1.0,231.0,520.097121737231,0.0,0.0,36.0,43.254470144916105,43.254470144916105,0.7748862085146908,186.179638126598,186.179638126598
6.0,cda627efd1549ecb72fa7931685d5aa3,2011-12-01,0.0,2.0,1.0,1.0,111.0,0.0,"388,69",13993.0,0.0,7,"33,7","13993,02","3025,52",2.0,73.0,32.0,2817.13,461.08,21.0,100.0,2265.0,51.3,0.7,2570.0,22.625,21.625,178.575,1240.25,14.0,130.0,145.50126949047004,76.5,80.9,36.0,87.0,0.10607898330658726,1.67,0.5,1.6674488161322574,1.12,0.87,1.03,6.25,39.15928988721828,1.0068260834659255,48.8076171875,0.0,0.0,0.0,1285.0,76.0,3.353091284306497,42031.375,42031.375,41956.0,250.0,0.0,42006.0,1.0,148.75,0.9,0.7958394346469725,3376.35,1.0,45.0,0.0,0.0,0.0,1.0,1.0,231.0,1314.2091153408576,0.0,0.0,31.625,199.9769993433527,199.9769993433527,21.05539168410184,0.0,0.0
7.0,cda627efd1549ecb72fa7931685d5aa3,2012-01-01,0.0,1.0,1.0,1.0,669.0,0.0,"752,42",27087.0,3.0,15,"80,4","27087,12","971,74",2.0,73.0,32.0,2817.13,461.08,21.0,100.0,2265.0,51.3,0.7,2570.0,22.625,21.625,178.575,1240.25,14.0,130.0,145.50126949047004,76.5,80.9,36.0,87.0,0.10607898330658726,1.67,0.5,1.6674488161322574,1.12,0.87,1.03,6.25,39.15928988721828,1.0068260834659255,48.8076171875,0.0,0.0,0.0,1285.0,76.0,3.353091284306497,42031.375,42031.375,41956.0,250.0,0.0,42006.0,1.0,148.75,0.9,0.7958394346469725,3376.35,1.0,45.0,0.0,0.0,0.0,1.0,1.0,231.0,1314.2091153408576,0.0,0.0,31.625,199.9769993433527,199.9769993433527,21.05539168410184,0.0,0.0
8.0,cda627efd1549ecb72fa7931685d5aa3,2012-01-29,0.0,1.0,1.0,1.0,744.0,0.0,"765,52",27559.0,0.0,0,"81,6","27558,79","888,99",2.0,73.0,32.0,2817.13,461.08,21.0,100.0,2265.0,50.0,0.7,2570.0,21.0,20.0,0.0,808.0,17.0,171.0,189.966756056771,78.0,80.9,36.0,87.0,0.0,1.67,0.5,1.6673988577818601,1.12,0.87,1.03,6.25,0.0,0.0,45.0,0.0,0.0,0.0,0.0,76.0,0.0,42031.375,42031.375,41956.0,250.0,0.0,42006.0,1.0,195.0,0.0,0.0,3376.35,1.0,45.0,0.0,0.0,0.0,1.0,1.0,231.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
9.0,cda627efd1549ecb72fa7931685d5aa3,2012-02-29,0.0,1.0,1.0,1.0,720.0,0.0,"961,67",34620.0,0.0,0,"74,9","34620,16","1154,01",2.0,73.0,32.0,2817.13,461.08,21.0,100.0,2265.0,50.0,0.7,2570.0,21.0,20.0,234.0,1120.0,18.7,143.0,161.987498067944,79.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.66736556241139,1.12,0.87,1.03,6.25,72.9088762616979,1.8746744853744,45.0,0.0,0.0,0.0,0.0,76.0,2.9031368057905493,42031.375,42031.375,41956.0,250.0,0.0,42006.0,1.0,163.0,0.0,1.04284713821863,3376.35,1.0,45.0,0.0,0.0,0.0,1.0,1.0,231.0,2446.8653555348897,0.0,0.0,30.0,369.97198565621596,369.97198565621596,42.9293817793906,0.0,0.0
