'111,,Скважина,Дата,ГТМ,Метод,Характер работы,Состояние,"Время работы, ч",Время накопления,"Нефть, т","Вода, т","Жидкость, т","Попутный газ, м3","Простой, ч",Причина простоя,"Qж, т/сут","Обводненность (вес), %","Добыча растворенного газа, м3","Дебит попутного газа, м3/сут",Дата_2,Пласт МЭР,Куст,Тип скважины,Диаметр экспл.колонны,Диаметр НКТ,Диаметр штуцера,Глубина верхних дыр перфорации,Удлинение,Тип насоса,Производительность ЭЦН,Напор,Частота,Коэффициент сепарации,Глубина спуска,Буферное давление,Давление в линии,Пластовое давление,Динамическая высота,Затрубное давление,Давление на приеме,Забойное давление,Обводненность,Давление наcыщения,Газовый фактор,Температура пласта,SKIN,JD факт,Вязкость нефти в пластовых условиях,Вязкость воды в пластовых условиях,Вязкость жидкости в пласт. условиях,объемный коэффициент,Плотность нефти,Плотность воды,Высота перфорации,Удельный коэффициент,Коэффициент продуктивности,ТП - Забойное давление,ТП - JD опт.,ТП - SKIN,К пр от стимуляции,Глубина спуска.1,КВЧ,Время до псевдоуст-ся режима,Дата запуска после КРС,Дата пуска,Дата останова,Радиус контура питания,Номер бригады,Дата ввода в эксплуатацию,Назначение по проекту,Замерное забойное давление,Нефтенасыщенная толщина,Плотность раствора глушения,Глубина текущего забоя,Тип дополнительного оборудования,Мощность ПЭД,I X/X,Ток номинальный,Ток рабочий,Тип ГЗУ,ДНС,Пластовое давление начальное,Характеристический дебит жидкости,Время в работе,Время в накоплении,ГП - Забойное давление,ГП(ИДН) Дебит жидкости,ГП(ИДН) Дебит жидкости скорр-ый,ГП(ИДН) Прирост дефита нефти,ГП(ГРП) Дебит жидкости,ГП(ГРП) Дебит жидкости скорр-ый'
'0.0,0ff7f3c3213313c873f6373ce2be5747,2012-03-30,0.0,4.0,1.0,1.0,418.0,0.0,366.08,284.15,650.23,13179.0,0.0,0,37.33,43.7,13178.92,756.68,2015-05-02,2.0,1.0,1.0,146.8,68.2,0.0,2517.0,164.16,1.0,45.0,2318.0,53.3,0.7,2427.0,27.14,26.12,176.2,2301.0,26.880000000000006,36.4,43.99084588292588,46.4,80.9,36.0,87.0,-4.7,0.4039442572489956,42126.784722222204,1.67,0.5,1.6684516836648318,1.12,0.8699999999999999,1.03,10.0,2.6499834718487896,0.3246446028299509,39.668368668210846,0.8308186458169248,-5.868211131664236,0.6362301055722183,1941.6,70.0,97.94734663650841,42138.5833333333,42138.5833333333,42106.0,250.0,0.0,42124.0,1.0,46.6,1.0,9.8,0.7863263120314169,2576.2,100.0,14.0,38.5,18.1,1.0,1.0,231.0,142.2960403719898,0.0,0.0,36.12,43.34224045080472,43.34224045080472,0.921344936092202,84.69671471154625,84.69671471154625'
'1.0,0ff7f3c3213313c873f6373ce2be5747,2012-04-30,0.0,1.0,1.0,1.0,720.0,0.0,666.48,761.1,1427.58,23993.0,0.0,0,47.59,53.3,23993.35,799.78,2015-05-02,2.0,1.0,1.0,146.8,68.2,0.0,2517.0,164.16,1.0,45.0,2318.0,45.0,0.7,2427.0,25.0,24.0,190.0,2040.0,25.3,54.0,61.6123860735752,52.0,80.9,36.0,87.0,-4.7,0.41782246315345295,42126.784722222204,1.67,0.5,1.6682650043954297,1.12,0.87,1.03,10.0,3.39858242917877,0.416397190722833,40.0,0.768479559979652,-5.77277522620917,0.75967746393029,0.0,70.0,74.77657285958809,42138.5833333333,42138.5833333333,42106.0,250.0,0.0,42124.0,1.0,71.0,1.0,9.8,0.847911460192788,2576.2,100.0,14.0,38.5,18.1,1.0,1.0,231.0,182.493524086988,0.0,0.0,34.0,61.539980570145104,61.539980570145104,3.56629588609258,112.27389956376,112.27389956376'
'2.0,0ff7f3c3213313c873f6373ce2be5747,2012-05-30,0.0,1.0,1.0,1.0,744.0,0.0,586.85,590.66,1177.51,21127.0,0.0,0,37.98,50.2,21126.56,681.5,2015-05-02,2.0,1.0,1.0,146.8,68.2,0.0,2517.0,164.16,1.0,45.0,2318.0,54.0,0.7,2427.0,27.0,26.0,190.0,2386.0,28.0,31.0,38.627244459418996,48.0,80.9,36.0,87.0,-4.7,0.40275131768548295,42126.784722222204,1.67,0.5,1.66839833759591,1.12,0.87,1.03,10.0,2.53921448380554,0.31108184128710104,38.627244459418996,0.8382727266099541,-5.881116826527362,0.6190833572178229,2427.0,68.0,100.091843168297,42138.5833333333,42138.5833333333,42106.0,250.0,0.0,42124.0,1.0,41.0,1.0,9.8,0.847911460192788,2576.2,100.0,14.0,38.5,18.1,1.0,1.0,231.0,136.34808312546002,0.0,0.0,36.0,45.4997244257805,45.4997244257805,0.22607533022308604,90.54891160940909,90.54891160940909'
'3.0,0ff7f3c3213313c873f6373ce2be5747,2012-06-30,0.0,1.0,1.0,1.0,742.0,0.0,551.13,521.72,1072.85,19841.0,2.0,5,34.7,48.6,19840.64,641.75,2015-05-02,2.0,1.0,1.0,146.8,68.2,0.0,2517.0,164.16,1.0,45.0,2318.0,56.0,0.7,2427.0,26.7,25.4,167.0,2344.0,25.5,31.0,38.57583381017879,44.0,80.9,36.0,87.0,-4.7,0.398308462044534,42126.784722222204,1.67,0.5,1.66853169211094,1.12,0.87,1.03,10.0,2.62303804970489,0.32132547121113103,38.57583381017879,0.8303403264290858,-5.8697205455371,0.633418021193399,2427.0,68.0,96.9009856369429,42138.5833333333,42138.5833333333,42106.0,250.0,0.0,42124.0,1.0,39.0,1.0,9.8,0.7452695465905028,2576.2,100.0,14.0,38.5,18.1,1.0,1.0,231.0,140.84915328082099,0.0,0.0,35.4,39.608390451972795,39.608390451972795,0.296407828201134,78.0786789425084,78.0786789425084'
'4.0,0ff7f3c3213313c873f6373ce2be5747,2012-07-31,0.0,1.0,1.0,1.0,717.0,0.0,438.92,501.97,940.89,15801.0,3.0,1,31.49,53.4,15801.05,528.91,2015-05-02,2.0,1.0,1.0,146.8,68.2,0.0,2517.0,164.16,1.0,45.0,2318.0,56.0,0.7,2427.0,28.5,27.6,167.0,2348.0,28.5,33.0,40.5694016506494,44.0,80.9,36.0,87.0,-4.7,0.40041953482801707,42126.784722222204,1.67,0.5,1.66853169211094,1.12,0.87,1.03,10.0,2.5144357640394,0.30802155416730603,40.5694016506494,0.840672422968625,-5.884522038523822,0.614747881452754,2427.0,72.0,101.08628584381901,42138.5833333333,42138.5833333333,42106.0,250.0,0.0,42124.0,1.0,41.0,1.0,9.8,0.7452695465905028,2576.2,100.0,14.0,38.5,18.1,1.0,1.0,231.0,135.017541352025,0.0,0.0,37.6,37.570075890001796,37.570075890001796,0.277740973608878,74.98217006869851,74.98217006869851'
'5.0,0ff7f3c3213313c873f6373ce2be5747,2012-08-30,0.0,1.0,1.0,1.0,744.0,0.0,290.13,622.65,912.78,10445.0,0.0,0,29.44,68.2,10444.57,336.92,2015-05-02,2.0,1.0,1.0,146.8,68.2,0.0,2517.0,164.16,1.0,45.0,2318.0,55.5,0.7,2427.0,28.5,27.6,167.0,2387.0,27.1,33.0,40.569363420807,44.0,80.9,36.0,87.0,-4.7,0.4004195085334911,42126.784722222204,1.67,0.5,1.66853169211094,1.12,0.87,1.03,10.0,2.17464663251535,0.26639695676138303,40.569363420807,0.8763281930973069,-5.93292102152372,0.554223804066826,2427.0,72.0,116.881045673895,42138.5833333333,42138.5833333333,42106.0,250.0,0.0,42124.0,1.0,41.0,1.0,9.8,0.7452695465905028,2576.2,100.0,14.0,38.5,18.1,1.0,1.0,231.0,116.771900014655,0.0,0.0,37.6,32.4930309161234,32.4930309161234,0.240204662335334,67.59991337335521,67.59991337335521'
'6.0,66607ec44c073839d78dd9d8ed961e6b,2012-03-30,0.0,1.0,1.0,1.0,744.0,0.0,829.24,508.66,1337.9,29853.0,0.0,0,43.16,38.0,29852.71,962.99,2015-04-07,2.0,1.0,1.0,146.8,67.7,0.0,2750.0,0.0,4.0,60.0,2349.0,50.0,0.7,2653.0,25.0,24.0,235.0,2453.0,29.0,47.0,0.0,63.0,80.9,36.0,87.0,-4.7,0.0,42101.496527777796,1.67,0.5,1.66789844795558,1.12,0.87,1.03,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,42110.625,42110.625,42079.0,250.0,0.0,42100.0,1.0,0.0,1.0,8.4,0.0,2819.6,100.0,14.0,38.5,0.0,1.0,1.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0'
'7.0,66607ec44c073839d78dd9d8ed961e6b,2012-04-30,0.0,1.0,1.0,1.0,720.0,0.0,741.62,343.58,1085.19,26698.0,0.0,0,36.17,31.7,26698.18,889.94,2015-04-07,2.0,1.0,1.0,146.8,67.7,0.0,2750.0,401.55,4.0,60.0,2349.0,50.0,0.7,2653.0,25.0,24.0,235.0,2579.0,27.7,34.0,42.0868958560151,32.0,80.9,36.0,87.0,-4.7,0.407118421864281,42101.496527777796,1.67,0.5,1.6689318835945002,1.12,0.87,1.03,8.0,2.6837004075525,0.26294228349394394,40.0,0.824772644306592,-5.861590667067912,0.5148536664977539,0.0,70.0,94.73335199458201,42110.625,42110.625,42079.0,250.0,0.0,42100.0,1.0,41.0,1.0,8.4,1.05069301028338,2819.6,100.0,14.0,38.5,0.0,1.0,1.0,231.0,115.285229691789,0.0,0.0,34.0,50.238380856662204,50.238380856662204,0.7326261148013349,98.3691715127241,98.3691715127241'
'8.0,66607ec44c073839d78dd9d8ed961e6b,2012-05-30,0.0,1.0,1.0,1.0,742.0,0.0,621.47,236.82,858.29,22373.0,2.0,1,27.76,27.6,22372.85,723.65,2015-04-07,2.0,1.0,1.0,146.8,67.7,0.0,2750.0,401.55,4.0,60.0,2349.0,53.7,0.7,2653.0,27.0,26.0,235.0,2576.0,28.3,36.0,44.0222963409449,28.0,80.9,36.0,87.0,-4.7,0.40800449650592896,42101.496527777796,1.67,0.5,1.66906532341889,1.12,0.87,1.03,8.0,2.0979307023628,0.205533592866592,42.8057403564453,0.8851472268559709,-5.94429045193986,0.431904231309904,2655.0,70.0,121.193832838115,42110.625,42110.625,42079.0,250.0,0.0,42100.0,1.0,43.0,1.0,8.4,1.05069301028338,2819.6,100.0,14.0,38.5,20.43,1.0,1.0,231.0,90.12199059876673,0.0,0.0,36.0,38.98713213224861,38.98713213224861,0.618339567640527,81.92678919151759,81.92678919151759'
'9.0,66607ec44c073839d78dd9d8ed961e6b,2012-06-30,0.0,1.0,1.0,1.0,744.0,0.0,558.87,212.82,771.69,20119.0,0.0,0,24.89,27.6,20119.28,649.01,2015-04-07,2.0,1.0,1.0,146.8,67.7,0.0,2750.0,401.55,4.0,60.0,2349.0,55.5,0.7,2653.0,26.7,25.7,158.0,2608.0,28.2,33.0,40.9799822687536,24.0,80.9,36.0,87.0,-4.7,0.39457320576938,42101.496527777796,1.67,0.5,1.6691987845834,1.12,0.87,1.03,8.0,2.6089164156511604,0.25557426191704,40.9799822687536,0.8316569884364241,-5.87162720850838,0.504603766838079,2655.0,70.0,97.46444618346041,42110.625,42110.625,42079.0,250.0,0.0,42100.0,1.0,43.0,1.0,8.4,0.706423385637335,2819.6,100.0,14.0,38.5,20.43,1.0,1.0,231.0,112.07269163823,0.0,0.0,35.7,28.7701805851258,28.7701805851258,0.5092434028851961,56.8036131141354,56.8036131141354'
